Month,Year,Postcode,# of Bonds
April,2018,2000,318
April,2018,2007,33
April,2018,2008,153
April,2018,2009,108
April,2018,2010,284
April,2018,2011,248
April,2018,2012,1
April,2018,2015,83
April,2018,2016,120
April,2018,2017,234
April,2018,2018,84
April,2018,2019,50
April,2018,2020,112
April,2018,2021,106
April,2018,2022,91
April,2018,2023,43
April,2018,2024,39
April,2018,2025,30
April,2018,2026,249
April,2018,2027,51
April,2018,2028,26
April,2018,2029,47
April,2018,2030,24
April,2018,2031,171
April,2018,2032,77
April,2018,2033,68
April,2018,2034,105
April,2018,2035,130
April,2018,2036,76
April,2018,2037,145
April,2018,2038,36
April,2018,2039,60
April,2018,2040,115
April,2018,2041,74
April,2018,2042,140
April,2018,2043,88
April,2018,2044,39
April,2018,2045,11
April,2018,2046,80
April,2018,2047,41
April,2018,2048,54
April,2018,2049,81
April,2018,2050,81
April,2018,2060,146
April,2018,2061,85
April,2018,2062,38
April,2018,2063,8
April,2018,2064,50
April,2018,2065,188
April,2018,2066,159
April,2018,2067,186
April,2018,2068,35
April,2018,2069,31
April,2018,2070,36
April,2018,2071,37
April,2018,2072,41
April,2018,2073,36
April,2018,2074,23
April,2018,2075,34
April,2018,2076,27
April,2018,2077,150
April,2018,2079,30
April,2018,2080,2
April,2018,2081,10
April,2018,2082,4
April,2018,2083,5
April,2018,2084,6
April,2018,2085,13
April,2018,2086,9
April,2018,2087,14
April,2018,2088,116
April,2018,2089,96
April,2018,2090,59
April,2018,2092,13
April,2018,2093,71
April,2018,2094,33
April,2018,2095,130
April,2018,2096,84
April,2018,2097,41
April,2018,2099,145
April,2018,2100,38
April,2018,2101,53
April,2018,2102,18
April,2018,2103,23
April,2018,2104,3
April,2018,2106,24
April,2018,2107,25
April,2018,2108,7
April,2018,2110,10
April,2018,2111,53
April,2018,2112,172
April,2018,2113,155
April,2018,2114,105
April,2018,2115,39
April,2018,2116,13
April,2018,2117,55
April,2018,2118,61
April,2018,2119,23
April,2018,2120,27
April,2018,2121,110
April,2018,2122,94
April,2018,2125,22
April,2018,2126,17
April,2018,2127,178
April,2018,2128,15
April,2018,2130,42
April,2018,2131,104
April,2018,2132,21
April,2018,2133,31
April,2018,2134,120
April,2018,2135,119
April,2018,2136,29
April,2018,2137,142
April,2018,2138,105
April,2018,2140,118
April,2018,2141,66
April,2018,2142,98
April,2018,2143,22
April,2018,2144,131
April,2018,2145,305
April,2018,2146,43
April,2018,2147,77
April,2018,2148,194
April,2018,2150,367
April,2018,2151,94
April,2018,2152,50
April,2018,2153,100
April,2018,2154,82
April,2018,2155,153
April,2018,2156,10
April,2018,2157,4
April,2018,2158,11
April,2018,2159,2
April,2018,2160,120
April,2018,2161,82
April,2018,2162,40
April,2018,2163,20
April,2018,2164,34
April,2018,2165,137
April,2018,2166,151
April,2018,2167,22
April,2018,2168,72
April,2018,2170,308
April,2018,2171,44
April,2018,2172,1
April,2018,2173,26
April,2018,2174,24
April,2018,2176,44
April,2018,2177,17
April,2018,2178,8
April,2018,2179,26
April,2018,2190,28
April,2018,2191,10
April,2018,2192,77
April,2018,2193,102
April,2018,2194,131
April,2018,2195,103
April,2018,2196,57
April,2018,2197,12
April,2018,2198,9
April,2018,2199,49
April,2018,2200,145
April,2018,2203,83
April,2018,2204,101
April,2018,2205,121
April,2018,2206,34
April,2018,2207,52
April,2018,2208,23
April,2018,2209,38
April,2018,2210,68
April,2018,2211,38
April,2018,2212,38
April,2018,2213,47
April,2018,2214,5
April,2018,2216,129
April,2018,2217,112
April,2018,2218,50
April,2018,2219,40
April,2018,2220,106
April,2018,2221,24
April,2018,2222,38
April,2018,2223,40
April,2018,2224,21
April,2018,2225,2
April,2018,2226,19
April,2018,2227,33
April,2018,2228,47
April,2018,2229,58
April,2018,2230,117
April,2018,2231,3
April,2018,2232,88
April,2018,2233,25
April,2018,2234,26
April,2018,2250,195
April,2018,2251,57
April,2018,2256,48
April,2018,2257,103
April,2018,2258,4
April,2018,2259,156
April,2018,2260,70
April,2018,2261,163
April,2018,2262,47
April,2018,2263,78
April,2018,2264,43
April,2018,2265,4
April,2018,2267,9
April,2018,2278,1
April,2018,2280,59
April,2018,2281,34
April,2018,2282,32
April,2018,2283,46
April,2018,2284,39
April,2018,2285,59
April,2018,2286,10
April,2018,2287,139
April,2018,2289,40
April,2018,2290,67
April,2018,2291,48
April,2018,2292,8
April,2018,2293,21
April,2018,2294,7
April,2018,2295,24
April,2018,2296,16
April,2018,2297,4
April,2018,2298,50
