POSTCODE,SA2_NAME_2011
0800,Darwin City
0810,Alawa
0810,Brinkin - Nakara
0810,Coconut Grove
0810,Jingili
0810,Lyons (NT)
0810,Millner
0810,Moil
0810,Nightcliff
0810,Rapid Creek
0810,Tiwi
0810,Wagaman
0810,Wanguri
0812,Anula
0812,Buffalo Creek
0812,Karama
0812,Leanyer
0812,Malak - Marrara
0812,Wulagi
0820,Darwin Airport
0820,East Point
0820,Fannie Bay - The Gardens
0820,Larrakeyah
0820,Ludmilla - The Narrows
0820,Parap
0820,Stuart Park
0820,Woolner - Bayview - Winnellie
0820,Berrimah
0820,Charles Darwin
0822,Charles Darwin
0822,East Arm
0822,Humpty Doo
0822,Koolpinyah
0822,Virginia
0822,Weddell
0822,Alligator
0822,Daly
0822,Thamarrurr
0822,Tiwi Islands
0822,West Arnhem
0822,Anindilyakwa
0822,East Arnhem
0822,Gulf
0822,Katherine
0828,Berrimah
0829,Howard Springs
0829,Durack - Marlow Lagoon
0830,Koolpinyah
0830,Driver
0830,Durack - Marlow Lagoon
0830,Gray
0830,Moulden
0830,Palmerston - North
0830,Woodroffe
0832,Howard Springs
0832,Virginia
0832,Bakewell
0832,Palmerston - North
0832,Palmerston - South
0832,Rosebery - Bellamack
0835,Howard Springs
0835,Virginia
0836,Humpty Doo
0837,Weddell
0838,Weddell
0840,Alligator
0841,Weddell
0845,Alligator
0846,Alligator
0847,Daly
0850,Katherine
0852,Halls Creek
0852,Kununurra
0852,Tanami
0852,Barkly
0852,Daly
0852,Elsey
0852,Gulf
0852,Katherine
0852,Victoria River
0853,Katherine
0854,Gulf
0860,Tennant Creek
0862,Barkly
0862,Gulf
0870,Charles
0870,East Side
0870,Flynn (NT)
0870,Larapinta
0870,Mount Johns
0870,Ross
0872,APY Lands
0872,Leinster - Leonora
0872,East Pilbara
0872,Petermann - Simpson
0872,Sandover - Plenty
0872,Tanami
0872,Yuendumu - Anmatjere
0872,Barkly
0880,East Arnhem
0880,Nhulunbuy
0885,Anindilyakwa
0886,Alligator
0909,Brinkin - Nakara
